ꀀ | Chinese: 1. pron. 我的（引述式） | 2. v. (1) 有；存在（多指房屋或容器中有某物） (2) 居住 (3) 睡觉
ꀀ ꀕ | Chinese: 1. pron. 我自己（引述式）
ꄶ ꆠ | Chinese: 1. adj. 过分讲究（穿着，打扮等）
ꄷ | Chinese: 1. cer. 听说；云云（转述式） | 2. v. 说
ꄷ ꀋ ꁧ | Chinese: 1. conj. 不仅（不但是）…而且；并且
ꄷ ꁧ | Chinese: 1. adj. (1) 体弱 (2) 胆小
ꄷ ꅠ | Chinese: 1. adj. (1) 丑；吝啬；小气 (2) 违法、违规和不道德的事
ꄷ ꆏ | Chinese: 1. conj. 就（表示紧跟着引起某个事态）
ꄷ ꇉ | Chinese: 1. n. 蓄水桶
ꄷ ꈈ | Chinese: 1. v. 昏厥（因被暴力击痛或重摔所致）
ꄷ ꋌ | Chinese: 1. adj. 勉强；无奈
ꄸ | Chinese: 1. adj. 坏
ꄸ ꀳ | Chinese: 1. v. 背（东西）
ꄸ ꄖ | Chinese: 1. adj. (1) 沉得住气 (2) 体质强
ꄸ ꈐ | Chinese: 1. n. 内心；胸中
ꄸ ꈢ | Chinese: 1. v. 胸口痛
ꄸ ꈾ | Chinese: 1. v. （人）反胃
ꄸ ꉺ | Chinese: 1. n. 场坝
ꄸ ꊰ | Chinese: 1. adj. 悲观失望
ꄸ ꋩ | Chinese: 1. v. 骑（自动）
ꄸ ꌋ | Chinese: 1. n. 内心；胸中（文学语）
ꄹ | Chinese: 1. v. (1) 说（引述） (2) 称呼 (3) 推 | 2. n. (1) 处所 (2) 跟前 (3) 埂；坎 (4) 界限；规矩；制度 | 3. cl. 匹（布）
ꄹ ꀧ ꉘ ꒉ | Chinese: 1. n. 大渡河
ꄹ ꁆ | Chinese: 1. n. 部分；局部
ꄹ ꃥ | Chinese: 1. n. 客人
ꄹ ꅔ | Chinese: 1. v. 袒护
ꄹ ꇭ | Chinese: 1. n. 地埂
ꄹ ꌶ | Chinese: 1. att. 嘛
ꄹ ꎭ ꏽ | Chinese: 1. v. （硬要）推出来
ꄹ ꏦ | Chinese: 1. n. 规矩；制度
ꄺ ꀱ | Chinese: 1. v. 改造；篡改
ꄺ ꂡ | Chinese: 1. v. (1) 整理 (2) 打扮
ꄺ ꅐ | Chinese: 1. aux. 碰上…机会
ꄺ ꑣ | Chinese: 1. v. 修建
ꄻ | Chinese: 1. v. (1) 让 (2) 当 (3) 做；制造 (4) 修 | 2. gr. 把；递给（致使移位，常与宾语后的动词搭配使用）
ꄻ ꁁ | Chinese: 1. n. 头巾布（男性用，一般是手工制的）
ꄻ ꅐ | Chinese: 1. aux. 该；必要；需要
ꄻ ꈴ | Chinese: 1. adj. 满意
ꄻ ꎭ ꃅ | Chinese: 1. v. (1) 收拾 (2) 打扮；整装
ꄻ ꐛ | Chinese: 1. v. 成立
ꄼ ꁱ | Chinese: 1. n. （田）埂；（地）坎
ꄼ ꊨ | Chinese: 1. n. 地界
ꄽ | Chinese: 1. v. (1) 接（水，粮等物） (2) 接受
ꄽ ꀮ | Chinese: 1. n. 小木桶（厨房用具）
ꄽ ꂫ | Chinese: 1. n. 最后；末尾
ꄽ ꇩ | Chinese: 1. adj. 难受；受不了
ꄾ ꌦ ꋩ | Chinese: 1. adv. 尽量
ꄾ ꎂ | Chinese: 1. adj. 直率
ꄿ | Chinese: 1. aux. 该（时间到了） | 2. adj. （身体发育）成熟 | 3. gr. (1) 可以；行 (2) 会；可能
ꄿ ꀠ | Chinese: 1. n. 矮子
ꄿ ꂿ | Chinese: 1. conj. （无论）…也好
ꄿ ꆸ ꀮ | Chinese: 1. adj. 圆柱形
ꄿ ꇁ ꀠ | Chinese: 1. adj. 矮小
ꄿ ꇨ | Chinese: 1. adj. 困难
ꄿ ꏀ | Chinese: 1. adj. 青年 | 2. n. 年轻
ꄿ ꐨ | Chinese: 1. conj. 由…定；随…便
ꅀ | Chinese: 1. att. 呢；吗；啊；吧（表示对所述内容的真实性要求确认的语气）… | 2. conj. 还是；或者
ꅂ | Chinese: 1. v. （向上）爬；攀登 | 2. n. 上半月（阴历）；（农历）上半月；初
ꅂ ꀨ | Chinese: 1. n. （农历）月初（指除夕夜第二天）
ꅂ ꊐ | Chinese: 1. n. 梯子
ꅂ ꐧ | Chinese: 1. n. 上弦
ꅅ ꁵ | Chinese: 1. n. （只要）一旦
ꅅ ꃅ | Chinese: 1. n. 刀
ꅅ ꃅ ꇥ ꉧ | Chinese: 1. n. 弯刀
ꅅ ꃅ ꈍ ꄯ | Chinese: 1. n. 砍刀
ꅅ ꃅ ꌺ | Chinese: 1. n. 小刀
ꅇ | Chinese: 1. n. 话；语
ꅇ ꀠ | Chinese: 1. v. 告诉
ꅇ ꀨ | Chinese: 1. n. (1) 话题 (2) （发言的）根据
ꅇ ꀱ | Chinese: 1. v. 回答；答话
ꅇ ꁖ | Chinese: 1. v. 暴露；泄密
ꅇ ꂫ ꎤ | Chinese: 1. v. 结束（语言方面）
ꅇ ꂷ | Chinese: 1. n. 语；语言；词
ꅇ ꃀ ꑌ | Chinese: 1. adj. 说话有分量；有内容
ꅇ ꃅ | Chinese: 1. v. 服从、乖 | 2. n. 喜讯；佳音
ꅇ ꃅ ꄜ | Chinese: 1. v. 报喜
ꅇ ꃛ ꉐ ꏤ | Chinese: 1. v. 决定；议定
ꅇ ꄜ | Chinese: 1. v. (1) 交谈 (2) 传达 (3) 打招呼
ꅇ ꅓ ꉐ ꅓ | Chinese: 1. adj. 气量大；宽宏大量
ꅇ ꆈ ꅤ | Chinese: 1. adj. 说话不分轻重
ꅇ ꆿ | Chinese: 1. n. 大话（言过其实）
ꅇ ꇰ | Chinese: 1. v. 通知；通告；告示
ꅇ ꇰ ꄯ ꒉ | Chinese: 1. n. 报纸
ꅇ ꇵ ꉐ ꏠ | Chinese: 1. v. 创根；追根溯源
ꅇ ꈐ ꉏ ꈐ | Chinese: 1. n. 内心话
ꅇ ꊢ ꉐ ꇯ | Chinese: 1. v. 挑拨离间
ꅇ ꌃ | Chinese: 1. n. 精炼的语言；简要的语言
ꅇ ꌐ | Chinese: 1. n. 开头语
ꅇ ꌧ ꁊ | Chinese: 1. adj. 善于领会别人的话
ꅇ ꎔ ꉐ ꃪ | Chinese: 1. n. 华丽辞藻；金玉良言
ꅇ ꎨ ꁨ | Chinese: 1. adj. 守信用
ꅇ ꎹ | Chinese: 1. v. 告状；控告
ꅇ ꏸ | Chinese: 1. v. （受语言刺激而引起的）赌气或生气
ꅇ ꐚ | Chinese: 1. n. 真话；实话
ꅇ ꑇ | Chinese: 1. v. 相信
ꅉ | Chinese: 1. gr. 地；地方；处；与动词形容词结合构成名词 | 2. v. （关系）好；合得来
ꅉ ꀕ | Chinese: 1. adv. 经常；常常
ꅉ ꁙ | Chinese: 1. adj. 个矮小
ꅉ ꁮ | Chinese: 1. n. 众人；所有人
ꅉ ꃀ | Chinese: 1. n. 基础
ꅉ ꃤ ꎖ | Chinese: 1. v. 以己度人
ꅉ ꃴ | Chinese: 1. adv. 下
ꅉ ꈫ | Chinese: 1. adv. (1) 反正；总是；自然 (2) 必然；将会
ꅉ ꊿ | Chinese: 1. n. (1) 地下人（指神话传说中的人） (2) 侏儒
ꅉ ꐚ | Chinese: 1. v. 知道；懂事
ꅊ ꁧ ꒉ | Chinese: 1. v. 解手（婉辞）
ꅊ ꇈ | Chinese: 1. cer. 原来 | 2. att. 希望；嘛
ꅊ ꇌ ꅈ ꇌ | Chinese: 1. adj. 跌跌撞撞（专指小孩开始学走路状）
ꅋ | Chinese: 1. n. 毒草 | 2. v. (1) 中毒 (2) 补（衣物）
ꅋ ꁁ | Chinese: 1. n. 补丁
ꅋ ꑕ | Chinese: 1. v. 修缮；修补
ꅋ ꑣ | Chinese: 1. v. 缝补
ꅋ ꒉ ꑱ ꒉ | Chinese: 1. n. 毒汁；流毒
ꅍ | Chinese: 1. n. 家 | 2. gr. 东西、工具等（名词化，不单用：放在动词、形容词后组成名词系性词组）
ꅎ ꇐ ꅌ ꇐ | Chinese: 1. adj. 悠悠忽忽
ꅏ ꁒ | Chinese: 1. v. 激怒
ꅐ | Chinese: 1. v. (1) 出 (2) 显露 (3) 出产 | 2. aux. （做）完；（吃）过；完结 | 3. n. 翅膀
ꅐ ꀦ | Chinese: 1. n. 来源；产地
ꅐ ꀿ | Chinese: 1. n. 出身
ꅐ ꂋ | Chinese: 1. n. 旺季
ꅐ ꅑ | Chinese: 1. n. 禽类
ꅐ ꋑ | Chinese: 1. n. 花色；花纹（指喜鹊等翅膀上有花纹）
ꅐ ꌞ | Chinese: 1. v. 贡献
ꅐ ꌶ | Chinese: 1. v. 受伤
ꅑ | Chinese: 1. v. (1) 有（指大物体上附有小物）；沾；挂（自动） (2) 连接 (3) 带 (4) 穿；戴（鞋、袜等）（自动） (5) 燃烧（自动）；着（火） (6) 错 | 2. gr. 从 | 3. ta. 习惯；毛病
ꅑ ꀵ | Chinese: 1. v. 埋怨；责怪
ꅑ ꁧ | Chinese: 1. n. 责任
ꅑ ꃚ ꅑ ꅺ | Chinese: 1. n. 首饰；（妇女）头饰品
ꅑ ꅸ | Chinese: 1. gr. 从…到（多指时间）
ꅑ ꎹ | Chinese: 1. v. 归罪；归咎
ꅑ ꐪ | Chinese: 1. n. 错误
ꅒ ꅔ | Chinese: 1. v. 争；争夺
ꅒ ꆈ | Chinese: 1. n. （酿酒用的）大曲
ꅓ | Chinese: 1. v. 容纳；容量 | 2. n. 刑
ꅓ ꁧ | Chinese: 1. n. 行李包裹
ꅔ | Chinese: 1. n. (1) 陆地 (2) 草地（文学语）
ꅔ ꃅ | Chinese: 1. n. 旱地
ꅔ ꈆ | Chinese: 1. n. 小扁篓
ꅔ ꏂ | Chinese: 1. n. 草原；草地
ꅔ ꐎ | Chinese: 1. n. 草地
ꅖ | Chinese: 1. adj. （手）巧
ꅗ | Chinese: 1. adj. (1) 够（做、说、粮食等足够）；丰收 (2) 厌；（吃）腻；畏惧 (3) 惊人；令人佩服
ꅘ ꁧ | Chinese: 1. n. 蕨基草
ꅘ ꅪ | Chinese: 1. n. 蕨菜
ꅘ ꇉ | Chinese: 1. n. 木槽（剁菜、剁猪草等用）
ꅜ | Chinese: 1. aux. 住（作动词补语，表动作已到达目的
ꅜ ꇰ | Chinese: 1. adj. 笨；粗笨；粗重
ꅝ | Chinese: 1. v. (1) 吸（烟）；喝；饮（水酒等）；吃（带汤的东西）（自动） (2) 狼吞虎咽 (3) 掷（镖枪）
ꅞ | Chinese: 1. aux. 住（作动词补语，表动作已到达目的，如：抓住等） | 2. v. (1) 放置 (2) 育（秧等） (3) 播；撒（稻种，专指育苗） (4) 跌倒 (5) 失败
ꅠ | Chinese: 1. adj. 贫瘠；瘦瘠
ꅡ | Chinese: 1. adj. 气馁
ꅡ ꀯ | Chinese: 1. n. 荨麻
ꅡ ꈭ | Chinese: 1. n. 德古（明理善断的长者）；调解人
ꅢ | Chinese: 1. v. (1) 燃（自动） (2) （灯）亮
ꅤ | Chinese: 1. v. 挖
ꅤ ꑬ | Chinese: 1. n. 内侄女；女称侄女
ꅥ | Chinese: 1. v. (1) 打 (2) 榨
ꅥ ꄁ | Chinese: 1. v. 捶打
ꅧ | Chinese: 1. v. 筛选（粮食）；用簸箕斜选粮食
ꅩ ꀧ ꍓ | Chinese: 1. adj. 赤膊
ꅩ ꁱ ꅪ ꋑ | Chinese: 1. adj. 花红色
ꅩ ꅐ | Chinese: 1. v. 出穗
ꅩ ꌺ | Chinese: 1. n. 闺女（文学语）
ꅩ ꍠ | Chinese: 1. adj. 红（猪血色）
ꅩ ꍸ | Chinese: 1. n. 孤女
ꅪ | Chinese: 1. n. 女儿（文学语） | 2. adj. 红
ꅪ ꈽ ꆜ | Chinese: 1. adj. 袒胸露怀
ꅪ ꊪ ꈫ | Chinese: 1. adj. 红润（多指年轻人的脸色）
ꅫ | Chinese: 1. adj. 潮湿；受潮；返潮 | 2. v. 闻；嗅（使动）
ꅫ ꃀ | Chinese: 1. n. 姐妹（男称）
ꅫ ꃀ ꌱ ꃀ | Chinese: 1. n. 妇女（尊称）
ꅫ ꃀ ꌺ | Chinese: 1. n. 外甥（男称）
ꅫ ꎹ | Chinese: 1. v. 归罪；归咎
ꅫ ꏒ | Chinese: 1. v. 埋怨；抱怨
ꅫ ꏻ | Chinese: 1. adj. 潮湿
ꅬ ꍽ | Chinese: 1. n. 灰叶菜
ꅰ | Chinese: 1. v. (1) 哄；诓；说服 (2) 引诱
ꅰ ꈻ | Chinese: 1. v. 拉拢
ꅰ ꌋ | Chinese: 1. n. 太阳穴
ꅰ ꑣ | Chinese: 1. v. 诓；引诱
ꅰ ꑷ | Chinese: 1. v. 哄
ꅱ ꀋ ꅐ | Chinese: 1. conj. 无论（表示无论如何都不起作用）
ꅱ ꁱ | Chinese: 1. n. 鼻疮（鼻孔边生的）
ꅱ ꄜ | Chinese: 1. adj. 单（数）
ꅱ ꈯ ꀕ | Chinese: 1. adv. 狠狠（地）
ꅱ ꈷ ꅲ ꊨ | Chinese: 1. v. （听到；听某事后）追问不休
ꅲ | Chinese: 1. v. (1) 听（自动） (2) 问 | 2. aux. 愿意；肯 | 3. n. 鼻子
ꅲ ꁘ | Chinese: 1. adj. 兔唇
ꅲ ꃺ | Chinese: 1. adj. 中耳炎
ꅲ ꇢ | Chinese: 1. n. 额头
ꅲ ꇢ ꈻ | Chinese: 1. adj. 伤感；悲伤
ꅲ ꇫ | Chinese: 1. v. 访问；询问
ꅲ ꊏ | Chinese: 1. n. 草鞋耳子
ꅲ ꊴ | Chinese: 1. v. 听清楚（了）
ꅲ ꋿ ꒉ | Chinese: 1. n. 鼻涕
ꅲ ꍚ | Chinese: 1. v. 听清楚
ꅲ ꐡ | Chinese: 1. adj. 缺口（指器具）
ꅲ ꐧ | Chinese: 1. n. 鼻梁儿
ꅲ ꐬ | Chinese: 1. n. 鼻孔
ꅲ ꒉ | Chinese: 1. n. 牛鼻绳；牛鼻桊儿
ꅳ | Chinese: 1. n. 耳（文学语）
ꅳ ꀧ | Chinese: 1. n. 耳朵
ꅳ ꁖ | Chinese: 1. n. (1) 鼻子 (2) 鼻涕
ꅳ ꍩ | Chinese: 1. n. 枪
ꅳ ꐈ | Chinese: 1. v. 缺口（指器具）
ꅶ | Chinese: 1. n. 对面（不单用）
ꅶ ꁉ | Chinese: 1. n. （河；峪）那边；对面
ꅶ ꁉ ꍤ ꁆ | Chinese: 1. n. 两岸
ꅶ ꍯ | Chinese: 1. n. 周围；左右（两旁）；两边
ꅷ | Chinese: 1. gr. （从…）到
ꅸ | Chinese: 1. v. (1) 赶；撵（牲畜） (2) 冲；闯（进） (3) （母牛）发情 | 2. conj. （从…）到（表示动作行为一直延续到某一个时段）
ꅺ | Chinese: 1. cl. 幅（布）
ꅹ | Chinese: 1. cl. 幅（布）
ꅺ ꃗ | Chinese: 1. v. （惊）呆 | 2. adj. 震耳欲聋
ꅺ ꇰ | Chinese: 1. v. 通知
ꅺ ꊈ ꄯ ꒉ | Chinese: 1. n. 《史记》（书名，彝族著名古典文献）“
ꅺ ꐴ | Chinese: 1. n. 耳根
ꅻ | Chinese: 1. n. 耳
ꅻ ꄂ | Chinese: 1. adj. 竖耳
ꅻ ꊪ | Chinese: 1. n. （三角形带须）女耳坠
ꅻ ꊪ ꅻ ꃰ | Chinese: 1. n. 耳环
ꅻ ꌺ | Chinese: 1. n. 耳垂
ꅼ | Chinese: 1. adj. (1) 深 (2) 过分；过头
ꅼ ꇻ | Chinese: 1. adj. 深（指耕地）
ꅽ | Chinese: 1. pron. 你的（领属） | 2. v. 传染；牵连；连累
ꅽ ꀕ | Chinese: 1. pron. 你自己
ꅽ ꃤ | Chinese: 1. pron. 你的（东西）
ꅽ ꉪ | Chinese: 1. pron. 咱们
ꅿ | Chinese: 1. v. (1) 出芽；发芽；出苗 (2) 散发…气味 (3) 剥 (4) 吸 | 2. n. 气味
ꅿ ꉗ | Chinese: 1. n. 味道
ꆀ | Chinese: 1. n. 彝族（古语）
ꆀ ꃅ | Chinese: 1. n. 彝区（文学语） | 2. v. 超度亡灵；祭祖灵
ꆀ ꆆ | Chinese: 1. n. 宁南（地名）
ꆀ ꆳ | Chinese: 1. n. 南风
ꆀ ꆿ | Chinese: 1. n. 宁蒗（地名）
ꆀ ꑴ ꃰ ꃅ | Chinese: 1. n. 皇帝（文学语）
ꆁ ꆂ | Chinese: 1. n. 奶
ꆂ ꒉ | Chinese: 1. n. (1) 江河（泛指） (2) 雅砻江（金河）
ꆃ ꆂ | Chinese: 1. n. (1) 奶 (2) 奶汁（女人的）
ꆃ ꇤ | Chinese: 1. n. 南瓜
ꆃ ꎭ | Chinese: 1. n. 凉山（地名）
ꆄ ꁏ ꈺ ꆽ | Chinese: 1. v. 旧病复发
ꆄ ꆶ | Chinese: 1. v. 碰痛（指伤、疮被碰痛之感）
ꆄ ꆹ | Chinese: 1. n. 宿疾；旧病
ꆄ ꇖ | Chinese: 1. v. 呻吟
ꆄ ꈻ | Chinese: 1. adj. 病
ꆄ ꉘ | Chinese: 1. v. 装病
ꆅ | Chinese: 1. v. 痛；病；疼 | 2. n. 病
ꆅ ꀥ ꇱ | Chinese: 1. v. 并发症
ꆅ ꃆ ꆅ ꂮ | Chinese: 1. n. 病情；病历
ꆅ ꄸ | Chinese: 1. n. 瘟疫（多指霍乱；痢疾）
ꆅ ꅑ ꈺ ꋦ | Chinese: 1. v. 多病；常生病
ꆅ ꈫ ꎴ | Chinese: 1. adj. 久病；病人
ꆅ ꉆ | Chinese: 1. n. 急症；急病
ꆅ ꉚ ꅉ | Chinese: 1. n. 医院
ꆅ ꏂ | Chinese: 1. n. 伤寒
ꆇ ꅉ ꍰ ꅉ | Chinese: 1. v. 蹑手蹑脚
ꆈ | Chinese: 1. adj. (1) 黑色 (2) （问题；案件等）重大 | 2. v. 偷看 | 3. n. 黑彝（族）
ꆈ ꀧ ꇰ ꏸ | Chinese: 1. adj. 黑不溜秋；漆黑（指脏的程度）
ꆈ ꁮ | Chinese: 1. adj. 黑油油（黑得发亮）
ꆈ ꁱ | Chinese: 1. adj. 黑花色
ꆈ ꃃ | Chinese: 1. adj. （水）深而绿
ꆈ ꄅ | Chinese: 1. adj. 黑压压（指人房等众多）
ꆈ ꄿ | Chinese: 1. adj. 黑油油（多指发辫黑而粗）
ꆈ ꈥ ꑣ | Chinese: 1. adj. 空荡荡；阴森森（多指空房黑而空）
ꆈ ꉙ | Chinese: 1. n. 彝语
ꆈ ꉼ | Chinese: 1. n. 黑彝（族）
ꆈ ꊉ | Chinese: 1. adj. 黑压压（多指大森林等）
ꆈ ꋍ | Chinese: 1. adj. 黑洞洞（多指往管内看时）
ꆈ ꋧ | Chinese: 1. adj. 黑暗
ꆈ ꋩ ꀕ | Chinese: 1. adj. （指水）浑浊
ꆈ ꌠ | Chinese: 1. n. 凉山彝族（自称）
ꆈ ꌦ ꆈ ꏰ | Chinese: 1. adj. 鬼鬼祟祟
ꆈ ꍃ ꇬ | Chinese: 1. adj. （由亮到不亮）黑黝黝的（多指火）
ꆈ ꍮ | Chinese: 1. v. 侦察；调查
ꆈ ꏪ | Chinese: 1. adj. 黑压压一片（多指猪等）
ꆈ ꏸ | Chinese: 1. adj. 漆黑
ꆈ ꑌ | Chinese: 1. n. 黄牛
ꆊ | Chinese: 1. n. (1) 肉；膘 (2) 肥沃土地 (3) 土地质量
ꆋ ꌅ | Chinese: 1. n. 家底
ꆌ | Chinese: 1. adj. 等量（多指交换牲畜）；相当
ꆍ | Chinese: 1. pron. 你们 | 2. v. 昏迷休克
ꆍ ꆋ | Chinese: 1. pron. 你们自己
ꆍ ꊇ | Chinese: 1. pron. 你们
ꆏ | Chinese: 1. pron. 你 | 2. gr. 呢（主题标记） | 3. v. 垫
ꆏ ꁁ | Chinese: 1. n. 垫肩；垫布
ꆏ ꈉ | Chinese: 1. n. (1) 歇气处 (2) 里程；距离
ꆐ | Chinese: 1. n. (1) 缺陷；毛病（指物） (2) 病菌 (3) 积怨；仇恨；仇隙 (4) 作用
ꆐ ꅑ | Chinese: 1. adj. 有缺陷（多指物）
ꆐ ꐕ | Chinese: 1. n. （伤疤里的）硬块
ꆐ ꑊ | Chinese: 1. pron. 你俩
ꆑ | Chinese: 1. v. 凹陷（使动） | 2. adj. 洼陷
ꆓ | Chinese: 1. v. 患（麻风病） | 2. n. 麻风病 | 3. adj. 软；耙
ꆔ ꇐ ꆒ ꇐ | Chinese: 1. adj. 软绵绵（有弹性的）
ꆖ ꂷ | Chinese: 1. n. 黄豆；豆子
ꆖ ꅿ | Chinese: 1. n. 豆芽
ꆖ ꊔ | Chinese: 1. n. 豆瓣
ꆖ ꏢ | Chinese: 1. n. 豆角儿
ꆗ | Chinese: 1. v. (1) 晒（使动） (2) 游（指鱼） (3) 闪（电） (4) 扭伤 | 2. adj. 年轻
ꆗ ꁍ | Chinese: 1. v. 飘扬；招展
ꆗ ꈭ | Chinese: 1. adj. 闪烁（多指打雷）
ꆗ ꌺ | Chinese: 1. n. 男青年；小伙子（文学语）
ꆗ ꐥ | Chinese: 1. adj. 闪闪发光
ꆗ ꑍ | Chinese: 1. n. 青春（时）
ꆘ ꅝ | Chinese: 1. v. 掉；遗失
ꆙ | Chinese: 1. v. (1) 堆放（不加整理地） (2) 散放；放任（牲畜吃草）
ꆙ ꂂ | Chinese: 1. n. 盖头（旧时妇女出嫁时用的头巾）
ꆚ | Chinese: 1. adj. 荡漾 | 2. adv. 挺（胸）
ꆚ ꈈ | Chinese: 1. n. 连枷（农具）
ꆛ ꇤ | Chinese: 1. v. 撒出来；溅出
ꆜ | Chinese: 1. n. (1) 脾脏 (2) 曾孙（重孙） | 2. v. (1) （牙齿、锄头等）脱落；脱；散 (2) 拆卸；拆；拔 (3) 掴
ꆞ | Chinese: 1. n. 裤子
ꆞ ꋩ | Chinese: 1. n. 短裤
ꆞ ꏣ | Chinese: 1. n. 裤带
ꆞ ꐟ | Chinese: 1. n. 中式裤子
ꆠ | Chinese: 1. adj. 爱虚荣；爱打扮；时髦 | 2. n. 魂
ꆠ ꄶ | Chinese: 1. adj. 爱打扮
ꆡ ꁠ | Chinese: 1. n. (1) 小饼 (2) 脾脏（专指羊）
ꆣ | Chinese: 1. v. (1) 摇；摇晃（多指狗摇尾巴） (2) 涮
ꆣ ꇗ ꆣ ꄉ | Chinese: 1. adv. 逍遥自在地（行走）
ꆣ ꈭ | Chinese: 1. v. 摇摆（尾）
ꆦ | Chinese: 1. v. (1) 换；更换；交换 (2) 栖身 (3) 招待（文学语） (4) 祭
ꆦ ꁧ | Chinese: 1. n. 荠菜
ꆦ ꑝ | Chinese: 1. v. (1) 招待；款待（文学语） (2) 祭祀
ꆧ | Chinese: 1. n. (1) 苗；秧苗 (2) （牲畜）栏 | 2. adj. 绿
ꆧ ꁨ | Chinese: 1. n. (1) 月亮 (2) 胳膊；手臂
ꆧ ꁨ ꄾ ꎆ | Chinese: 1. n. 自己挣的钱
ꆧ ꁨ ꊛ ꑭ | Chinese: 1. n. 月光
ꆧ ꃅ | Chinese: 1. n. 苗圃；秧田
ꆧ ꊂ | Chinese: 1. n. 秧田（指拔了秧苗的）
ꆧ ꌺ | Chinese: 1. n. 幼苗
ꆧ ꐎ | Chinese: 1. n. （牛马）畜圈（可以搬动的）（文学语）
ꆩ | Chinese: 1. v. 推迟（付款期）
ꆩ ꅍ | Chinese: 1. n. （妇女生育后带的帽子）
ꆪ | Chinese: 1. n. (1) 月 (2) 月亮（文学语）
ꆪ ꁁ | Chinese: 1. n. 半月；半个月
ꆪ ꈻ | Chinese: 1. v. 延期（指推迟过年的日期）
ꆪ ꌺ | Chinese: 1. n. 月亮（文学语）
ꆪ ꍯ | Chinese: 1. v. 月经不调
ꆪ ꎆ | Chinese: 1. n. 闰月
ꆪ ꏒ | Chinese: 1. adj. 月晕
ꆪ ꐛ | Chinese: 1. v. 满月（指婴儿）
ꆫ | Chinese: 1. v. (1) 放牧 (2) 参观；观看
ꆫ ꁍ | Chinese: 1. n. 牧场
ꆫ ꁯ | Chinese: 1. n. (1) 斗笠 (2) 雨伞
ꆫ ꃅ ꂿ ꏿ | Chinese: 1. n. 农牧业生产
ꆫ ꃅ ꂿ ꑘ | Chinese: 1. n. 农牧业
ꆫ ꃅ ꊿ | Chinese: 1. n. 牧民
ꆫ ꃨ | Chinese: 1. v. 参观；旅游
ꆫ ꄓ ꂿ ꄑ | Chinese: 1. n. 春耕
ꆫ ꈌ ꂾ ꈌ | Chinese: 1. n. 农忙期间
ꆫ ꌺ | Chinese: 1. n. (1) 牧童；小牧羊人 (2) 珠子
ꆫ ꏂ ꂿ ꇭ | Chinese: 1. v. 筹划农牧业生产
ꆫ ꑘ | Chinese: 1. n. 牧业
ꆭ | Chinese: 1. v. 炒 | 2. n. 皮革
ꆭ ꀧ | Chinese: 1. n. 球
ꆭ ꄅ | Chinese: 1. n. 火药片
ꆭ ꏶ | Chinese: 1. v. 炒
ꆭ ꑆ | Chinese: 1. n. 皮革（指成品）
ꆰ | Chinese: 1. v. (1) （被）火烧；燃烧（烧房子、烧山等火势较大） (2) 化（脓） (3) 用完；用光
ꆱ | Chinese: 1. v. 起泡 | 2. n. 皮口袋
ꆲ ꋒ | Chinese: 1. n. （雨前）大风；风暴
ꆲ ꌙ | Chinese: 1. n. 微风
ꆲ ꏂ | Chinese: 1. n. 旋风；羊角（风）
ꆳ | Chinese: 1. n. 风 | 2. v. (1) 扬 (2) 凑集 | 3. adj. 旧
ꆳ ꀧ | Chinese: 1. n. 皮球；篮球；足球
ꆳ ꂾ | Chinese: 1. n. 船
ꆳ ꃰ | Chinese: 1. n. 樱桃
ꆳ ꅣ | Chinese: 1. n. 狂风
ꆳ ꇨ ꉐ ꇨ | Chinese: 1. n. 狂风暴雨
ꆴ | Chinese: 1. v. (1) 换（毛、牙等） (2) （树叶）脱落
ꆴ ꁈ | Chinese: 1. v. 奸污幼女
ꆴ ꁮ ꆱ ꁮ | Chinese: 1. adj. (1) 一拱一拱（气、液体在器物内晃动状） (2) （衣服补得）七拱八皱 (3) 狂妄自大
ꆵ ꅐ | Chinese: 1. adj. 陈旧（多指衣服日久而变色）
ꆶ | Chinese: 1. v. (1) 触动；动；碰 (2) 逃
ꆶ ꏣ | Chinese: 1. n. 扳机（枪的击发机）
ꆷ | Chinese: 1. v. (1) 掀；撬 (2) 推 (3) 仰（头）；翘（头）（指物） | 2. adj. 空闲；闲暇；闲；有空
ꆷ ꃹ | Chinese: 1. adj. 空闲；闲暇
ꆷ ꈍ | Chinese: 1. adj. 过量；过度
ꆸ ꁧ | Chinese: 1. adj. 势力弱；力弱
ꆸ ꂡ | Chinese: 1. n. 马鬃
ꆸ ꄖ ꆹ ꎅ | Chinese: 1. adv. 脖子一伸一缩
ꆸ ꄜ | Chinese: 1. n. 阁楼
ꆸ ꈈ | Chinese: 1. n. 边
ꆸ ꈐ | Chinese: 1. adj. 离群；不合群（指单独行动的羊）
ꆸ ꉈ | Chinese: 1. adj. 固执
ꆸ ꋩ | Chinese: 1. adj. 短（指棒条形的锄头把等）
ꆸ ꌦ | Chinese: 1. n. 瘿（指脖子上的一种囊状的瘤子；包括甲状腺肿大）
ꆸ ꌬ | Chinese: 1. v. 冒领
ꆸ ꌾ | Chinese: 1. v. 颈项毛竖起 | 2. adj. 易于激怒
ꆸ ꎆ | Chinese: 1. n. 报口钱；举报者奖赏
ꆸ ꐔ | Chinese: 1. v. （硬性的东西）折；断
ꆸ ꐔ ꆽ ꐷ | Chinese: 1. adj. （断得）稀巴烂
