above | Yi: n. [ꄩ tot]
invite | Yi: v. [ꁨ bbop]
inward | Yi: n. [ꈐ ꏭ ku jox]
irate | Yi: [see "angry"]
iron (metal) | Yi: n. [ꎸ ꅍ she ddu]
iron (press) | Yi: n. [ꍅ ꍪ ssyr chox]
irony | Yi: n. [ꇿ ꋌ kat cy]
irrigate | Yi: v. [ꂷ ꃹ ma vur], [ꉔ hxuo], [ꎭ sha]
irritable | Yi: adj. [ꇨ ꌈ guo nzyr], [ꊎ ꌾ zix ssu], [ꂅ ꑣ nbut xie]
irritate | Yi: v. [ꌌ sip]
is | Yi: v. [ꉬ nge]
issue | Yi: n. [ꃣ ꈌ vix ke]
issue | Yi: v. [ꃑ fat]
it | Yi: pron. [ꋌ cy], [ꋋ cyx], [ꇬ go]
itch | Yi: n. [ꑳ yi]
itch | Yi: v. [ꃶ ꑳ vu yi], [ꌟ ꂰ sux mi]
item | Yi: cl. [ꂷ ma], [ꊵ ꑵ ciep yiet]
its | Yi: pron. [ꋍ cyp], [ꋊ cyt]
itself | Yi: pron. [ꀃ ꅉ ip dde]
jackal | Yi: n. [ꃤ ꅪ vi hni]
jail | Yi: n. [ꏦ ꑳ jie yi]
jam | Yi: v. [ꈬ ꀧ ggu bo]
jar | Yi: n. [ꄣ ta], [ꈀ ꀧ gax bo]
javelin | Yi: v. [ꅝ ndo]
jealous | Yi: v. [ꉈ ꈻ hxi mgo]
jerk | Yi: v. [ꄳ tup]
jest | Yi: [see "joke"]
jewelry | Yi: n. [ꅑ ꃚ ndit fu], [ꆧ ꌺ hlop sse]
job | Yi: n. [ꑘ nyop], [ꌤ ꃅ syt mu]
join | Yi: v. [ꅑ ndit], [ꊛ zot], [ꐊ qo], [ꐯ ꐉ jjy qox]
joint | Yi: n. [ꊨ zyt], [ꇻ ꆺ kip lip]
joke | Yi: n. [ꈩ ꅍ ggep ddu], [ꒉ ꅍ yy ddu]
jolt | Yi: v. [ꇸ kit]
journey | Yi: n. [ꑭ ꄑ xy dex]
joy | Yi: [see "happiness"]
judge | Yi: v. [ꇜ gi], [ꇗ lyp], [ꅉ ꃤ dde vi]
jump | Yi: v. [ꀜ bie], [ꐂ qie]
junk | Yi: [see "trash"]
jurisdiction | Yi: n. [ꏲ ꄸ ju ddi]
just | Yi: adv. [ꀃ ꌋ ip si], [ꊝ ꀕ zo w], [ꇯ ꆐ gex nep]
just now | Yi: adv. [ꀃ ꌋ ip si], [ꀋ ꃉ ap myt]
keen | Yi: adj. [ꄧ tuo]
keep | Yi: v. [ꈯ ggur], [ꐏ qup]
kernel | Yi: n. [ꀉ ꏵ ax jur], [ꂶ ꂷ max ma], [ꈯ ꄜ ggur ti], [ꏴ ꏵ jurx jur]
key | Yi: n. [ꎤ ꁉ nrur pop]
key (important) | Yi: adj. [ꊨ zyt]
kick | Yi: v. [ꀜ bie], [ꑃ njur], [ꊔ zat]
kid (child) | Yi: [see "child"]
kid (goat) | Yi: n. [ꍶ ꌺ chyt sse]
kidnap | Yi: v. [ꍯ che], [ꎧ ꎶ nry shet]
kidney | Yi: n. [ꀑ o]
kill | Yi: v. [ꌉ sit]
kilogram | Yi: cl. [ꏣ jip]
kin | Yi: n. [ꏣ ꑟ jip xi], [ꇨ ꊨ guo zyt]
kind (type) | Yi: cl. [ꏠ jit], [ꑵ yiet]
kind (gentle) | Yi: adj. [ꉌ ꂵ ꂄ hxie mat nbop], [ꑖ ꈈ nyox ko]
kindle | Yi: v. [ꄀ dit]
kindling | Yi: n. [ꃨ vie], [ꎺ ꁯ shut bbup]
kindness | Yi: n. [ꑆ ꊋ njy we]
king | Yi: n. [ꃰ ꃅ vo mu]
kinship | Yi: v. [ꋒ zzi]
kiss | Yi: v. [ꁬ bbut], [ꁬ ꏶ bbut jyt]
knead | Yi: v. [ꍀ ssyt], [ꆺ lip]
knee | Yi: n. [ꁡ ꊭ bbap zyr]
kneecap | Yi: n. [ꁡ ꊭ bbap zyr], [ꀯ ꃹ ꏦ ꂷ bup vur jie ma]
kneel | Yi: v. [ꁡ ꊭ ꃄ bbap zyr mux]
knife | Yi: n. [ꅅ ꃅ ddox mu]
knock | Yi: v. [ꅥ ndup], [ꊴ cie], [ꈷ mguo]
knot | Yi: n. [ꊨ zyt]
knot | Yi: v. [ꄝ tip]
know | Yi: v. [ꅉ ꐚ dde jji], [ꐚ jji], [ꌧ syp], [ꋒ ꌥ zzi syx]
knowledge | Yi: n. [ꁱ ꂷ bbur ma], [ꌧ ꅍ syp ddu], [ꌧ ꇐ syp lu]
known | Yi: adj. [ꈨ ꈴ gge mga]
kowtow | Yi: v. [ꀍ ꃈ uo mur], [ꄚ tit]
labor | Yi: n. [ꊋ ꌬ we ssi], [ꑘ ꁨ nyop bbop]
labor | Yi: v. [ꑘ ꃅ nyop mu]
laborer | Yi: n. [ꊋ ꃅ we mu]
laborious | Yi: adj. [ꀌ ꄬ ꏅ uop top shyr], [ꎬ ꅧ shax ndur]
lack | Yi: v. [ꇮ get], [ꍣ cha], [ꐜ jjiet]
lacquer | Yi: n. [ꏸ jy]
lacquer | Yi: v. [ꄂ di], [ꏸ jy]
lad | Yi: [see "boy", "young man"]
ladder | Yi: n. [ꅂ ꊐ dduo zip]
ladle | Yi: n. [ꀀ ꍹ it chyp], [ꂶ ꀧ max bo], [ꃭ ꇇ vap lot]
lady | Yi: n. [ꀉ ꐔ ax qy], [ꑮ ꆜ xyp hlie]
lag | Yi: v. [ꊁ ꊰ wax ci]
lair | Yi: n. [ꆿ ꈌ lat ke]
lake | Yi: n. [ꎾ ꃝ shurx fur], [ꎿ shur]
lamb | Yi: n. [ꑾ ꌺ yox sse]
lame | Yi: n. [ꐂ ꀜ qie bie]
lamp | Yi: n. [ꂷ ꇭ ma gop]
lance | Yi: n. [ꐳ nji], [ꐳ ꃶ nji vu]
land | Yi: n. [ꁍ ꑗ pup nyo], [ꃄ ꅉ mux dde]
landlord | Yi: n. [ꃅ ꁦ mu bbox]
landslide | Yi: v. [ꃄ ꐡ mux jjuo]
lane | Yi: n. [ꉺ ꇤ hox ga]
language | Yi: n. [ꅇ ꂷ ddop ma], [ꉙ hxop], [ꆈ ꉙ nuo hxop]
lantern | Yi: n. [ꂷ ꇭ ma gop]
lap (body) | Yi: n. [ꂣ ꈓ hmut kur], [ꄌ ꈪ duo ggut]
lap (round) | Yi: cl. [ꏮ jo]
lard | Yi: n. [ꋋ ꇷ cyx gur]
large | Yi: adj. [ꀉ ꒉ ax yy], [ꃀ mop], [ꄇ ꃀ dat mop]
large intestine | Yi: n. [ꃵ ꆈ vux nuo]
large scale | Yi: adj. [ꄇ ꃀ dat mop], [ꃅ ꇴ mu gu]
lark | Yi: n. [ꏰ jut]
larva | Yi: n. [ꁮ bbu], [ꁮ ꆰ bbu hlur]
lash | Yi: v. [ꆽ ꏶ lie jyt]
last | Yi: adj. [ꀈ ꂫ at hmyp], [ꂫ hmyp], [ꌐ ꂫ sat hmyp]
last | Yi: v. [ꏦ jie]
last month | Yi: n. [ꂴ ꁮ miep bbu]
last night | Yi: n. [ꀋ ꅞ ap ndop]
last year | Yi: n. [ꀋ ꉊ ap hxiet]
latch | Yi: n. [ꃭ ꇀ vap lax]
late | Yi: adj. [ꈊ ket], [ꑎ nyiet]
later | Yi: adv. [ꇈ ꉈ lox hxi], [ꃆ ꏂ mup shy], [ꊂ wa]
laugh | Yi: v. [ꒈ ꉐ yyx hxa], [ꒉ yy], [ꒊ ꊪ yyp zy]
launch | Yi: v. [ꊥ ꂠ zup hmox], [ꍜ ꇜ zhyx gi]
law | Yi: n. [ꏤ jiet], [ꏦ ꃤ jie vi]
lay | Yi: v. [ꃛ fup], [ꉼ hop], [ꄳ tup]
lay down | Yi: v. [ꏀ shyt]
layer | Yi: cl. [ꄀ dit], [ꄂ di], [ꄅ die], [ꊐ zip]
lazy | Yi: adj. [ꀋ ꍹ ap chyp], [ꐵ ꑷ njiet yie], [ꇂ ꂱ lap mip]
lead | Yi: v. [ꏃ shyp], [ꂘ hmat], [ꅸ hnop], [ꌌ sip], [ꈜ ꏁ gga shyx]
leader | Yi: n. [ꂽ ꌋ mot si], [ꊥ ꌋ zup si], [ꏃ ꌋ shyp si], [ꌟ ꒉ sux yy]
leading rein | Yi: n. [ꍋ ꂫ zhuo hmyp]
leaf | Yi: n. [ꏾ qi], [ꏽ ꏾ qix qi], [ꏾ nyie]
leak | Yi: v. [ꋹ nzuo], [ꋒ zzi], [ꒉ yy], [ꌗ ꁖ sot bbit]
lean | Yi: v. [ꉭ ngep], [ꋒ zzi], [ꉈ hxi], [ꊫ zyp]
lean (meat) | Yi: adj. [ꈧ ꐚ ggex jji], [ꎹ ꌧ shep syp]
leap | Yi: [see "jump"]
leap month | Yi: n. [ꆪ ꎆ hlep rre]
learn | Yi: v. [ꌷ sso]
learner | Yi: n. [ꇮ ꌺ get sse]
lease | Yi: [see "rent"]
leather | Yi: n. [ꆭ hlu], [ꆭ ꑆ hlu njy], [ꑅ ꇷ njyx gur]
leave | Yi: v. [ꁧ bbo], [ꊏ zi], [ꈻ mgo], [ꐕ qyp]
leave behind | Yi: v. [ꊏ zi]
lecture | Yi: v. [ꁒ py]
ledge | Yi: n. [ꆻ liet], [ꇱ ꆷ gep lit], [ꇥ ꆷ gap lit]
leech | Yi: n. [ꁶ nbit]
left (direction) | Yi: n. [ꃼ vy]
left over | Yi: adj. [ꋒ zzi]
leg | Yi: n. [ꏸ ꑭ jy xy], [ꁱ bbur], [ꑭ ꆹ xy li]
legacy | Yi: [see "heritage"]
legend | Yi: n. [ꁮ ꁌ ꁮ ꅉ bbu pu bbu dde], [ꅺ ꃶ ꅉ hne vu dde]
legs | Yi: n. [ꑭ xy]
leisure | Yi: n. [ꆷ lit], [ꆷ ꃹ lit vur]
lend | Yi: [see "loan"]
length | Yi: n. [ꎴ sho], [ꆹ li]
leper | Yi: n. [ꊿ ꆓ co nu]
leprosy | Yi: n. [ꆓ nu]
lessen | Yi: [see "decrease"]
lesson | Yi: cl. [ꊱ cip]
let | Yi: v. [ꄻ ddie], [ꎽ shup]
letter | Yi: cl. [ꁬ bbut]
level | Yi: adj. [ꐽ njo], [ꐼ ꇉ njox lo]
level | Yi: v. [ꂱ mip], [ꌆ nzyp]
libel | Yi: v. [ꈼ mgop], [ꊂ ꀠ wa ba]
liberate | Yi: v. [ꁌ ꄝ pu tip]
lice | Yi: n. [ꎸ she]
lick | Yi: v. [ꃉ myt], [ꑽ yot]
lid | Yi: n. [ꈁ ꑷ ka yie]
lie (falsehood) | Yi: n. [ꅇ ꈱ ddop mgie]
lie (falsehood) | Yi: v. [ꈱ mgie]
lie down | Yi: v. [ꎍ rrur]
life | Yi: n. [ꀑ ꇬ o go], [ꐥ ꐨ jjo jjux], [ꍂ ssy], [ꐥ ꍂ jjo ssy]
lifetime | Yi: n. [ꍂ ssy], [ꍂ ꇁ ssy la]
lift | Yi: v. [ꆷ lit], [ꐕ qyp], [ꐔ qy]
light (not heavy) | Yi: adj. [ꀊ ꐎ a qu], [ꑾ ꌙ yox so]
light (bright) | Yi: n. [ꂷ ꇭ ma gop], [ꁨ ꃅ bbop mu]
light (bright) | Yi: adj. [ꌬ ssi], [ꄇ ꇁ dat la]
light (ignite) | Yi: v. [ꄀ dit], [ꄔ dut], [ꅢ ndut], [ꏦ jie]
lightning | Yi: n. [ꃅ ꊭ mu zyr], [ꃅ ꆗ mu hlit]
like (similar) | Yi: v. [ꌡ sup], [ꈀ ꇙ kax lyr]
like (enjoy) | Yi: v. [ꂿ ꈬ mo ggu], [ꃃ mut], [ꉌ ꃹ hxie vur], [ꏚ ryt]
likely | Yi: cer. [ꋭ nzit], [ꐤ ꁮ jjox bbu]
likeness | Yi: n. [ꒌ yyr]
limb | Yi: cl. [ꁆ pot]
limit | Yi: n. [ꇜ gi], [ꈢ ggot]
limp | Yi: v. [ꌧ ꇗ syp lyp]
limpid | Yi: adj. [ꐝ ꍠ jjiex zhyr]
line | Yi: n. [ꈜ gga], [ꑴ ꁱ yip bbur]
line up | Yi: v. [ꂽ ꄅ mot die], [ꎆ rre]
lineage | Yi: [see "clan", "genealogy"]
linguistics | Yi: [implied in grammar terms]
link | Yi: v. [ꅑ ndit], [ꊛ zot]
lip | Yi: n. [ꂱ ꀯ mip bup], [ꂱ ꑆ mip njy]
liquid | Yi: n. [ꒉ yy]
liquor | Yi: n. [ꎧ nry], [ꎧ ꒉ nry yy]
listen | Yi: v. [ꅲ hna], [ꄂ di]
listless | Yi: adj. [ꀋ ꄚ ap tit], [ꀎ ꄆ uop diep], [ꇀ ꆜ lax hlie]
liter | Yi: cl. [ꏂ shy]
literary | Yi: [indicated by marker (文学语) after many entries]
literature | Yi: n. [ꃆ ꃀ mup mop], [ꁱ ꃆ bbur mup]
litter | Yi: cl. [ꁱ bbur]
little | Yi: adj. [ꀁ ꑌ ix nyi], [ꀄ ꊭ iet zyr], [ꌺ sse]
little bit | Yi: n. [ꊼ ꇅ cuop luo], [ꌺ sse], [ꍈ zha]
little while | Yi: n. [ꀂ ꉗ i hxox], [ꋍ ꈪ cyp ggut]
live | Yi: v. [ꀀ it], [ꃅ mu], [ꋦ zzur], [ꐥ jjo]
lively | Yi: adj. [ꋧ zzyt]
liver | Yi: n. [ꌌ sip], [ꃮ ꌌ vot sip]
livestock | Yi: n. [ꎇ ꃀ rrep mop], [ꎆ rre], [ꑌ nyi]
living | Yi: n. [ꐥ ꐨ jjo jjux]
lizard | Yi: n. [ꄯ ꆪ tep hlep]
load | Yi: n. [ꃣ ꁧ vix bbo], [ꃅ ꏦ mu jie], [ꏠ jit]
loan | Yi: v. [ꀱ bur]
loathe | Yi: v. [ꉈ ꅛ hxi ndot], [ꉌ ꅛ hxie ndot]
locate | Yi: v. [ꐕ qyp]
location | Yi: n. [ꄹ ddip], [ꈚ ggat], [ꋑ ꅉ nyix dde]
lock | Yi: n. [ꎤ ꂷ nrur ma]
lock | Yi: v. [ꎤ nrur]
locust | Yi: n. [ꍈ ꀮ zha bu]
lodge | Yi: v. [ꈿ mgep]
loft | Yi: n. [ꆸ ꄜ lix ti], [ꑱ ꇉ yit lo]
log | Yi: n. [ꌩ ꄹ syr ddip], [ꐦ jjop]
loiter | Yi: v. [ꁍ ꇑ pup lup], [ꃶ ꋩ vu zzy]
lonesome | Yi: adj. [ꉌ ꌤ hxie syt]
long | Yi: adj. [ꀊ ꎴ a sho], [ꎴ sho]
long ago | Yi: adv. [ꀊ ꆨ a hlex], [ꀊ ꆨ ꃀ a hlex mop]
long for | Yi: v. [ꂡ ꌙ hmo so], [ꉌ ꂵ hxie mat], [ꊋ ꋦ zzur]
long time | Yi: adv. [ꀊ ꉗ a hxox], [ꈀ ꆽ kax lie]
look | Yi: v. [ꉜ hxep], [ꉚ hxex], [ꆈ nuo]
look after | Yi: v. [ꀨ ꎹ bop shep]
look around | Yi: v. [ꆫ ꃨ hlut vie], [ꈌ ꆫ ke hlut]
look down | Yi: v. [ꉈ ꍑ hxi zhet], [ꉜ ꄸ hxep ddi]
look for | Yi: v. [ꎹ shep], [ꊙ zuo]
look like | Yi: v. [ꌡ sup], [ꈀ ꇙ kax lyr], [ꀋ ꏮ ap jo]
loop | Yi: cl. [ꈻ mgo]
loose | Yi: adj. [ꈥ ggop], [ꏯ jop], [ꁮ bbu], [ꉞ ngie]
loosen | Yi: v. [ꏯ jop], [ꋰ nzip]
lop | Yi: [see "cut"]
lopsided | Yi: [see "crooked"]
lord | Yi: n. [ꌅ Nzy], [ꌋ si]
lose | Yi: v. [ꇤ ga], [ꈔ ggit], [ꆘ ꅝ hlix ndo], [ꀑ ꇬ o go]
lose face | Yi: v. [ꋦ ꌗ zzur sot]
lose weight | Yi: v. [ꎿ shur]
loss | Yi: n. [ꁮ ꑋ bbu nyix], [ꁭ ꐞ bbux jjie]
lost | Yi: v. [ꈜ ꑽ gga yot]
lot | Yi: n. [ꁥ bbot]
loud | Yi: adj. [ꈢ ggot], [ꄎ ꌬ dox ssi], [ꅺ ꃗ hne fop]
louse | Yi: n. [ꎸ she]
lovable | Yi: adj. [ꉂ ꑟ mgu xi]
love | Yi: v. [ꉂ mgu], [ꂿ ꈬ mo ggu], [ꃃ mut]
love | Yi: n. [ꁌ ꒉ pu yy], [ꉂ ꏣ mgu jip], [ꉂ ꐪ mgu jjup]
lovely | Yi: [see "beautiful"]
low | Yi: adj. [ꀁ ꂥ ix hmu]
lower | Yi: v. [ꈎ kut]
lower leg | Yi: n. [ꑭ ꆹ xy li]
luck | Yi: n. [ꈌ ꁈ ke po], [ꎭ ꈓ sha kur]
lucky | Yi: adj. [ꂱ ꆓ mip nu], [ꊜ ꋽ zox nze], [ꉐ ꇙ hxa lyr]
lug | Yi: [see "carry"]
luggage | Yi: n. [ꅓ ꁧ ndi bbo]
lumber | Yi: [see "wood"]
lump | Yi: n. [ꁁ ꆈ pa nuo], [ꄝ tip], [ꈻ mgo]
lunar | Yi: [traditional calendar system]
lunar calendar | Yi: [traditional system - see months]
lunch | Yi: n. [ꎙ nro]
lung | Yi: n. [ꋍ ꃀ cyp mop]
lure | Yi: v. [ꅰ hnat], [ꅰ ꑣ hnat xie], [ꈌ ꊏ ke zi]
lush | Yi: adj. [ꃴ ꇉ vut lo]
lust | Yi: v. [ꇢ gat]
lute | Yi: n. [ꁀ ꁻ pax nbie]
lymph | Yi: n. [ꁮ ꈔ bbu ggit]
machine | Yi: n. [ꏠ ꐕ jit qyp]
mad | Yi: v. [ꃶ vu]
madness | Yi: [see "insanity"]
maggot | Yi: n. [ꁮ ꆰ bbu hlur]
magic | Yi: v. [ꃔ fap]
magnificent | Yi: adj. [ꁦ ꒉ bbox yy], [ꇰ ꀋ ꃀ ge ap mop]
magpie | Yi: n. [ꀊ ꍆ a zhat]
maid | Yi: n. [ꁏ ꃀ pur mop], [ꎠ ꁏ nrux pur]
maiden | Yi: [see "girl", "young woman"]
main | Yi: adj. [ꀋ ꉬ ap nge], [ꀋ ꂿ ap mo]
mainly | Yi: adv. [ꀋ ꂿ ap mo], [ꉬ ꉎ nge hxat]
maize | Yi: [see "corn"]
majestic | Yi: adj. [ꁦ ꒉ bbox yy]
major | Yi: adj. [ꀋ ꉬ ap nge]
majority | Yi: n. [ꊋ ꒉ we yy]
make | Yi: v. [ꃅ mu], [ꄻ ddie], [ꊨ zyt]
make-up | Yi: v. [ꉶ ꄻ huox ddie]
malaria | Yi: n. [ꀽ pie]
male | Yi: adj. [ꀋ ꀮ ap bu], [ꀞ bat], [ꀮ bu]
mallet | Yi: n. [ꊖ ꄁ za dix]
mama | Yi: n. [ꀉ ꂿ ax mo]
man | Yi: n. [ꌺ ꃰ sse vo], [ꁦ ꋠ bbox zze], [ꒆ yur], [ꊿ co]
manage | Yi: v. [ꀞ bat], [ꏲ ju], [ꏲ ꂠ ju hmox]
manager | Yi: [see "manage"]
mane | Yi: n. [ꆸ ꂡ lix hmo]
manger | Yi: [see "trough"]
mange | Yi: n. [ꈾ mge]
mankind | Yi: n. [ꃰ ꊿ vo co]
manner | Yi: gr. [ꌊ six], [ꌌ sip], [ꄟ tie], [ꃄ ꄟ mux tie]
manners | Yi: n. [ꆹ ꇐ li lu], [ꀺ pi]
manual labor | Yi: n. [ꊋ ꌬ we ssi]
manure | Yi: n. [ꑭ xy], [ꐔ qy]
many | Yi: adj. [ꀉ ꑌ ax nyi]
map | Yi: v. [ꎖ ꄎ nra dox]
mare | Yi: n. [ꃆ ꃀ mup mop]
margin | Yi: [see "edge"]
mark | Yi: n. [ꌐ sat], [ꌐ ꂷ sat ma], [ꐪ jjup]
mark | Yi: v. [ꌐ ꄀ sat dit], [ꑠ xip], [ꑴ yip]
marker | Yi: n. [ꍀ ꂷ ssyt ma]
market | Yi: n. [ꃷ ꎏ vup rryx], [ꇤ ꍤ ga chap]
marriage | Yi: n. [ꃝ fur], [ꃝ ꐨ fur jjux], [ꃜ ꏦ furx jie]
marriageable | Yi: n. [ꀑ ꆗ o hlit]
marrow | Yi: n. [ꀉ ꏵ ax jur], [ꏵ jur], [ꏴ ꏵ jurx jur]
marry | Yi: v. [ꃝ fur], [ꐛ jjip], [ꑮ xyp]
marsh | Yi: n. [ꊫ ꉻ zyp ho], [ꊩ ꒉ yyx zyx]
mash | Yi: v. [ꍀ ssyt]
mask | Yi: v. [ꉱ hat]
mass | Yi: n. [ꆈ ꏪ nuo juo]
masses | Yi: n. [ꉹ ꁌ hot pu]
master | Yi: n. [ꇮ ꃀ get mop], [ꌌ ꁈ sip po], [ꃥ ꌋ vip si]
mat | Yi: n. [ꁻ ꇤ nbie ga], [ꂶ ꏪ max juo], [ꈌ ꇉ ko lo]
match | Yi: v. [ꀣ buo], [ꄮ te], [ꊝ zo]
matchmaker | Yi: n. [ꃜ ꇤ furx ga]
mate | Yi: v. [ꀱ ꉅ bur mgur], [ꁈ po], [ꇱ gep]
mathematics | Yi: n. [ꌗ ꇐ sot lu]
matron | Yi: n. [ꀋ ꃀ ꃶ ap mop vu], [ꅫ ꃀ hnip mop]
matter | Yi: n. [ꌤ syt], [ꌤ ꆿ syt lat], [ꐘ jjit]
mature | Yi: adj. [ꄿ dda], [ꒆ ꆹ yur li]
may | Yi: cer. [ꇚ git], [ꋭ nzit], [ꊋ ꒉ we yy]
maybe | Yi: cer. [ꇚ git], [ꋭ nzit], [ꏭ ꁮ jox bbu], [ꇬ ꐥ go jjo]
me | Yi: pron. [ꀂ i], [ꉢ nga]
meadow | Yi: n. [ꅔ ꐎ ndip qu]
meal | Yi: n. [ꋂ ꄮ ce te], [ꏿ qip]
mean | Yi: v. [ꄜ ti]
meaning | Yi: n. [ꄜ ꐨ ti jjux]
means | Yi: n. [ꏡ ꁈ jix po]
measles | Yi: n. [ꃬ ꈿ va mgep], [ꃬ ꎔ va nrat]
measure | Yi: v. [ꆹ li], [ꐑ qur], [ꈤ ggo], [ꎖ nra]
measure word | Yi: n. [ꎖ ꅇ nra ddop]
meat | Yi: n. [ꎸ she], [ꆊ not]
mediate | Yi: v. [ꉉ ꁱ hxip bbur], [ꍬ ꃪ chop vat], [ꑖ ꉬ nyox nge]
mediator | Yi: n. [ꅡ ꈭ ndep ggup]
medicine | Yi: n. [ꁬ ꋌ bbut cy], [ꀽ ꋌ pie cy]
medium | Yi: n. [ꌠ ꑊ su nyit]
medium size | Yi: adj. [ꐧ jjut], [ꇥ ꐧ gap jjut]
meet | Yi: v. [ꌥ syx], [ꋒ zzi], [ꊝ zo]
meeting | Yi: n. [ꃀ mop]
melancholy | Yi: adj. [ꁨ ꇊ bbop lop], [ꐞ jjie], [ꁁ ꎓ pa rryr]
melon | Yi: n. [ꆃ ꇤ niep ga], [ꄘ ꇤ durx ga]
melt | Yi: v. [ꐯ jjy]
member | Yi: n. [ꂛ ꊨ hmap zyt]
memorial | Yi: n. [ꎺ ꄅ shut die]
memorize | Yi: v. [ꎺ shut]
memory | Yi: n. [ꎺ ꏣ shut jip]
mend | Yi: v. [ꅋ ddut], [ꅋ ꑕ ddut nyot]
menstrual | Yi: n. [ꌌ sip]
menstruation | Yi: n. [ꆪ ꍯ hlep che]
mere | Yi: adv. [ꏦ ꀕ jie w]
merely | Yi: adv. [ꀉ ꄂ ax di], [ꋋ ꅉ cyx dde]
merge | Yi: v. [ꐯ ꇯ jjy gex]
merry | Yi: adj. [ꈌ ꒉ ke yy]
mess | Yi: n. [ꀨ ꁘ bop bbi]
message | Yi: n. [ꈨ ꅍ gge ddu]
messenger | Yi: n. [ꊩ ꌺ zyx sse]
messy | Yi: adj. [ꌾ ꏂ ssu shy]
metal | Yi: n. [ꎸ ꅍ she ddu]
meteor | Yi: n. [ꋰ nzip]
method | Yi: n. [ꃄ ꄟ mux tie], [ꏡ ꁈ jix po], [ꌫ ꄟ ssix tie]
meticulous | Yi: adj. [ꃆ ꎹ mup shep], [ꋬ ꈥ zzyr ggop]
Miao ethnic group | Yi: prop n. [ꂯ ꑿ Mix yo]
mice | Yi: [see "mouse", "rat"]
microbe | Yi: n. [ꆐ nep]
mid | Yi: [see "middle"]
middle | Yi: n. [ꇢ ꆣ gat hluo], [ꈪ ꄙ ggut dur], [ꈬ ggu]
middle-aged | Yi: adj. [ꄛ ꆹ tix li]
midnight | Yi: n. [ꌊ ꁁ six pa]
midst | Yi: n. [ꇢ ꆣ gat hluo], [ꈬ ꇬ ggu go]
midway | Yi: n. [ꈝ ꃀ ggap mop]
might | Yi: cer. [ꇬ ꐥ go jjo], [ꏭ ꐛ jox jjip]
migrate | Yi: [see "move"]
mildew | Yi: v. [ꈹ ꐛ mgot jjip], [ꃴ ꐛ vut jjip]
military | Yi: adj. [ꂽ ꏂ mot shy]
milk | Yi: n. [ꀉ ꆂ ax nie], [ꆂ ꒉ nie yy], [ꑍ nyip], [ꑍ ꐎ nyip qu]
mill | Yi: n. [ꐂ ꇓ qie lur]
millstone | Yi: n. [ꐂ ꇓ qie lur]
Milky Way | Yi: n. [ꍑ ꈜ zhet gga]
million | Yi: num. [ꉐ ꃪ hxa vat], [ꄙ ꃪ dur vat]
mince | Yi: v. [ꋐ zzit]
mind | Yi: n. [ꄸ ꈐ ddi ku], [ꉌ hxie]
mine (possessive) | Yi: pron. [ꉠ ꃤ ngat vi]
mineral | Yi: n. [ꊖ ꃴ za vut]
mingle | Yi: [see "mix"]
minority | Yi: n. [ꀁ ꑌ ꊿ ꋅ ix nyi co cux]
mirror | Yi: n. [ꑊ ꈻ nyit mgo]
mischievous | Yi: adj. [ꌊ ꀜ six bie], [ꉈ ꌉ hxi sit], [ꌓ ꀖ sap bit]
miserable | Yi: adj. [ꇧ ꀠ guox bba]
miserly | Yi: adj. [ꄷ ꅠ ddix nde], [ꑕ nyot]
misgiving | Yi: v. [ꉪ ꄅ ngop die]
mislead | Yi: v. [ꍚ zhur]
miss (long for) | Yi: v. [ꉂ mgu], [ꉌ ꂵ hxie mat]
miss (not hit) | Yi: v. [ꐵ njiet]
mist | Yi: n. [ꃅ ꉒ mu hxuot], [ꉒ hxuot]
mistake | Yi: n. [ꅑ ndit], [ꅑ ꐪ ndit jjup], [ꑽ ꐪ yot jjup]
mistaken | Yi: adj. [ꆽ ꀠ lie ba], [ꑽ yot]
mistakenly | Yi: v. [ꉂ mgu], [ꎻ ꈁ shux ka]
misty | Yi: [see "foggy"]
mix | Yi: v. [ꉔ hxuo], [ꌼ ssut], [ꋲ nzie]
mixed | Yi: v. [ꌼ ꁙ ssut bbip]
moan | Yi: v. [ꀀ ꇖ it ly], [ꆄ ꇖ nax ly], [ꇖ ly]
moat | Yi: n. [ꁾ ꇓ nbax lur]
mobilize | Yi: v. [ꄕ ꊪ dux zy]
mock | Yi: v. [ꐮ ꌎ jjyx sie]
model | Yi: n. [ꀱ bur], [ꁱ bbur], [ꈁ ꏦ ka jie]
modest | Yi: adj. [ꁱ ꋊ bbur cyt]
moist | Yi: adj. [ꅫ ꏻ hnip jyr]
molar | Yi: n. [ꌧ ꃶ syp vu]
mold (fungus) | Yi: v. [ꃴ ꐛ vut jjip], [ꋃ ꐛ cep jjip]
mold (form) | Yi: n. [ꀱ bur], [ꎵ ꏦ shop jie]
moldy | Yi: adj. [ꃴ ꁧ vut ka], [ꋃ ꐛ cep jjip]
mole | Yi: n. [ꁈ po]
molt | Yi: v. [ꆴ hlyp], [ꇷ ꆴ gur hlyp]
moment | Yi: n. [ꀂ ꉗ i hxox], [ꋋ ꇅ cyx luo], [ꋍ ꈪ cyp ggut]
monarch | Yi: [see "king"]
money | Yi: n. [ꎆ rre], [ꎆ ꃀ rre mop], [ꌃ nzyt]
monkey | Yi: n. [ꀊ ꑙ a nyut], [ꑙ nyut], [ꑙ ꌺ nyut sse]
month | Yi: n. [ꁮ ꆪ bbu hlep], [ꆪ hlep]
